Line,bus0,bus1
128,"(80.572036, 26.5769363)","(80.5742964, 26.5779083)"
129,"(80.5742964, 26.5779083)","(80.5748594, 26.5803558)"
130,"(80.5748594, 26.5803558)","(80.5762495, 26.5826052)"
131,"(80.5762495, 26.5826052)","(80.5762495, 26.5841149)"
132,"(80.5762495, 26.5841149)","(80.5786049, 26.5872655)"
133,"(80.5786049, 26.5872655)","(80.5792521, 26.5903266)"
134,"(80.5792521, 26.5903266)","(80.5786916, 26.5925522)"
135,"(80.5786916, 26.5925522)","(80.5763748, 26.5955182)"
136,"(80.5763748, 26.5955182)","(80.575285, 26.5971006)"
137,"(80.575285, 26.5971006)","(80.5747932, 26.5989038)"
138,"(80.5747932, 26.5989038)","(80.574356, 26.6006043)"
139,"(80.574356, 26.6006043)","(80.5765256, 26.6039124)"
140,"(80.5765256, 26.6039124)","(80.5783345, 26.6067172)"
141,"(80.5783345, 26.6067172)","(80.5804167, 26.6098493)"
142,"(80.5804167, 26.6098493)","(80.5836356, 26.6118672)"
143,"(80.5836356, 26.6118672)","(80.5868613, 26.6139096)"
144,"(80.5868613, 26.6139096)","(80.5901745, 26.6159739)"
145,"(80.5901745, 26.6159739)","(80.5934088, 26.6180171)"
146,"(80.5934088, 26.6180171)","(80.5953304, 26.6210208)"
147,"(80.5953304, 26.6210208)","(80.5973367, 26.6241486)"
148,"(80.5973367, 26.6241486)","(80.5992885, 26.6272116)"
149,"(80.5992885, 26.6272116)","(80.6011557, 26.6301178)"
150,"(80.6011557, 26.6301178)","(80.6029263, 26.6328781)"
151,"(80.6029263, 26.6328781)","(80.6046727, 26.6356221)"
152,"(80.6046727, 26.6356221)","(80.6065158, 26.6385389)"
153,"(80.6065158, 26.6385389)","(80.6085582, 26.6428654)"
154,"(80.6085582, 26.6428654)","(80.6104436, 26.6463923)"
155,"(80.6104436, 26.6463923)","(80.6134832, 26.6486608)"
156,"(80.6134832, 26.6486608)","(80.6164804, 26.6509021)"
157,"(80.6164804, 26.6509021)","(80.6195683, 26.6531813)"
158,"(80.6195683, 26.6531813)","(80.6226019, 26.6554496)"
159,"(80.6226019, 26.6554496)","(80.6256898, 26.6577664)"
160,"(80.6256898, 26.6577664)","(80.6287918, 26.6600747)"
161,"(80.6287918, 26.6600747)","(80.6318324, 26.6623836)"
162,"(80.6318324, 26.6623836)","(80.634826, 26.6646124)"
163,"(80.634826, 26.6646124)","(80.637794, 26.6668296)"
164,"(80.637794, 26.6668296)","(80.6404803, 26.6688707)"
165,"(80.6404803, 26.6688707)","(80.6435346, 26.6712032)"
166,"(80.6435346, 26.6712032)","(80.6465103, 26.6734073)"
167,"(80.6465103, 26.6734073)","(80.6489974, 26.6733982)"
168,"(80.6489974, 26.6733982)","(80.6510359, 26.673368)"
169,"(80.6510359, 26.673368)","(80.6531642, 26.6759855)"
170,"(80.6531642, 26.6759855)","(80.6555399, 26.678907)"
171,"(80.6555399, 26.678907)","(80.6579487, 26.6818166)"
172,"(80.6579487, 26.6818166)","(80.6603047, 26.6847315)"
173,"(80.6603047, 26.6847315)","(80.6627122, 26.6876286)"
174,"(80.6627122, 26.6876286)","(80.6650439, 26.6905589)"
175,"(80.6650439, 26.6905589)","(80.667367, 26.6934205)"
176,"(80.667367, 26.6934205)","(80.6696304, 26.6961828)"
177,"(80.6696304, 26.6961828)","(80.6718681, 26.6989717)"
178,"(80.6718681, 26.6989717)","(80.6739521, 26.7014973)"
179,"(80.6739521, 26.7014973)","(80.6759251, 26.7039199)"
180,"(80.6759251, 26.7039199)","(80.6779664, 26.7064759)"
181,"(80.6779664, 26.7064759)","(80.68017, 26.7091539)"
182,"(80.68017, 26.7091539)","(80.6813486, 26.711809)"
183,"(80.6813486, 26.711809)","(80.6824803, 26.714403)"
184,"(80.6824803, 26.714403)","(80.6839365, 26.7176378)"
185,"(80.6839365, 26.7176378)","(80.6851793, 26.7204681)"
186,"(80.6851793, 26.7204681)","(80.687733, 26.7221503)"
187,"(80.687733, 26.7221503)","(80.690812, 26.724252)"
188,"(80.690812, 26.724252)","(80.6938142, 26.726224)"
189,"(80.6938142, 26.726224)","(80.6967523, 26.7281921)"
190,"(80.6967523, 26.7281921)","(80.6983195, 26.7312282)"
191,"(80.6983195, 26.7312282)","(80.699921, 26.7342794)"
192,"(80.699921, 26.7342794)","(80.7014968, 26.737342)"
193,"(80.7014968, 26.737342)","(80.7029957, 26.7402405)"
194,"(80.7029957, 26.7402405)","(80.7055794, 26.7425326)"
195,"(80.7055794, 26.7425326)","(80.7082826, 26.7449428)"
196,"(80.7082826, 26.7449428)","(80.7110114, 26.7473911)"
197,"(80.7110114, 26.7473911)","(80.713578, 26.7496449)"
198,"(80.713578, 26.7496449)","(80.7165631, 26.7522723)"
199,"(80.7165631, 26.7522723)","(80.7185318, 26.7546099)"
200,"(80.7185318, 26.7546099)","(80.7206884, 26.7571114)"
201,"(80.7206884, 26.7571114)","(80.7230329, 26.7598569)"
202,"(80.7230329, 26.7598569)","(80.7254414, 26.762629)"
203,"(80.7254414, 26.762629)","(80.7277731, 26.7653744)"
204,"(80.7277731, 26.7653744)","(80.7301731, 26.7681387)"
205,"(80.7301731, 26.7681387)","(80.7325933, 26.7709544)"
206,"(80.7325933, 26.7709544)","(80.734862, 26.7736043)"
207,"(80.734862, 26.7736043)","(80.7372695, 26.7764161)"
208,"(80.7372695, 26.7764161)","(80.7396823, 26.7791849)"
209,"(80.7396823, 26.7791849)","(80.742015, 26.7819585)"
210,"(80.742015, 26.7819585)","(80.7433602, 26.7842697)"
211,"(80.7433602, 26.7842697)","(80.7444919, 26.7863712)"
212,"(80.7444919, 26.7863712)","(80.7458158, 26.7893447)"
213,"(80.7458158, 26.7893447)","(80.7472892, 26.7926402)"
214,"(80.7472892, 26.7926402)","(80.748677, 26.7957442)"
215,"(80.748677, 26.7957442)","(80.7484723, 26.7982643)"
216,"(80.7484723, 26.7982643)","(80.7482378, 26.8007628)"
217,"(80.7482378, 26.8007628)","(80.751297, 26.8028199)"
218,"(80.751297, 26.8028199)","(80.7543037, 26.8048749)"
219,"(80.7543037, 26.8048749)","(80.7569963, 26.8067044)"
220,"(80.7569963, 26.8067044)","(80.7584843, 26.8087101)"
221,"(80.7584843, 26.8087101)","(80.760109, 26.8110139)"
222,"(80.760109, 26.8110139)","(80.7623561, 26.8138642)"
223,"(80.7623561, 26.8138642)","(80.7645881, 26.8167144)"
224,"(80.7645881, 26.8167144)","(80.7668151, 26.8195013)"
225,"(80.7668151, 26.8195013)","(80.7691382, 26.8223559)"
226,"(80.7691382, 26.8223559)","(80.7708843, 26.8247181)"
227,"(80.7708843, 26.8247181)","(80.7731922, 26.8275499)"
228,"(80.7731922, 26.8275499)","(80.7754495, 26.8304179)"
229,"(80.7754495, 26.8304179)","(80.777798, 26.8333715)"
230,"(80.777798, 26.8333715)","(80.7797668, 26.835878)"
231,"(80.7797668, 26.835878)","(80.7823339, 26.8375147)"
232,"(80.7823339, 26.8375147)","(80.7850792, 26.8381086)"
233,"(80.7850792, 26.8381086)","(80.787374, 26.8384131)"
234,"(80.787374, 26.8384131)","(80.7884681, 26.8406486)"
235,"(80.7884681, 26.8406486)","(80.7923895, 26.842214)"
236,"(80.7923895, 26.842214)","(80.7948695, 26.8448377)"
237,"(80.7948695, 26.8448377)","(80.7978252, 26.8478904)"
238,"(80.7978252, 26.8478904)","(80.7997991, 26.8499495)"
239,"(80.7997991, 26.8499495)","(80.8023702, 26.8526362)"
240,"(80.8023702, 26.8526362)","(80.8045769, 26.8549301)"
241,"(80.8045769, 26.8549301)","(80.8069118, 26.8573995)"
242,"(80.8069118, 26.8573995)","(80.8089701, 26.8595763)"
243,"(80.8089701, 26.8595763)","(80.8125889, 26.8597524)"
